N	TP_NS_P	COD_OBL	HSIZE	TYPE_DOM	H_WORK	AGE_HEAD	SEX_HEAD	CASHINC	TOTALINC	TOTALRES	CONSUM	CASHEXP	TOTALEXP	HOUSE	OWNHOUSE	STOTAL	SLIV	ROOMS	TIMEHOUS	HEATING	HEATIND	RUNWATER	SEVERAGE	HOTWATER	GASKOL	GASCENTR	GASBAL	ELEKTRPL	BATH	HTELEPH	L_EDUC
38	1	5	2	1	1	30	2	6680	11828	12473	9913	10023	15841	1	1	42	29	2	4	1	2	1	1	2	1	1	2	2	1	1	1
39	1	5	3	1	1	32	2	5990	6197	6197	5991	5991	6197	1	3	33	18	1	6	1	2	1	1	1	2	1	2	2	1	2	2
40	1	5	3	1	1	29	2	4406	5854	6254	5995	6155	7803	1	1	65	40	3	4	1	2	1	1	2	1	1	2	2	1	1	3
41	1	5	2	2	1	58	2	4167	4344	4344	4905	4905	5082	1	1	60	39	3	5	1	2	1	1	1	2	1	2	2	1	1	3
42	1	5	3	2	2	52	2	8577	9813	9913	6436	6655	7991	4	1	39	33	3	2	2	1	1	1	1	2	1	2	2	1	2	1
43	1	5	4	1	1	26	2	4040	4264	4264	4621	4621	4845	1	4	34	19	1	5	1	2	1	1	1	2	1	2	2	1	2	4
44	1	5	1	2	1	59	2	1367	1703	1703	1580	1635	1971	1	1	34	19	1	5	1	2	1	1	1	2	1	2	2	1	2	4
45	1	5	3	1	1	28	1	6715	6770	6770	7791	7835	7890	1	1	42	20	1	5	1	2	1	1	1	2	2	2	1	1	2	1
46	1	5	2	2	1	49	2	4292	5898	6398	4735	4815	6421	1	1	51	29	2	5	1	2	1	1	1	2	2	2	1	1	1	1
47	1	5	2	1	1	63	2	1370	2273	2273	2178	2178	3080	1	1	51	30	2	5	1	2	1	1	1	2	2	2	1	1	1	6
48	1	5	3	1	2	36	2	6190	8302	11752	9237	9437	12050	1	1	50	29	2	5	1	2	1	1	1	2	2	2	1	1	1	1
49	1	5	4	2	1	58	1	2712	2948	2948	5685	5685	5921	1	1	63	41	3	4	1	2	1	1	1	2	1	2	2	1	1	7
50	1	5	1	2	1	83	2	996	1109	1109	2029	2029	2142	1	1	37	17	1	5	1	2	1	1	1	2	2	2	1	1	2	8
51	1	5	3	1	1	46	1	6467	6571	6571	8539	8569	8764	1	1	51	30	2	5	1	2	1	1	1	2	2	2	1	1	1	1
52	1	5	4	1	2	40	1	6616	7040	7065	6039	6219	6643	1	1	61	39	3	5	1	2	1	1	1	2	2	2	1	1	1	2
53	1	5	4	1	3	50	1	8980	8995	8995	12959	13509	13523	1	1	63	38	3	5	1	2	1	1	1	2	2	2	1	1	2	4
54	1	5	2	2	1	64	1	3490	3490	3490	4345	4425	4425	1	1	31	21	2	2	1	2	1	1	2	1	1	2	2	1	2	7
55	1	5	3	1	1	44	1	3381	3664	3664	5032	5032	5315	1	1	62	38	3	5	1	2	1	1	1	2	1	2	2	1	1	5
56	1	5	3	1	1	28	1	7970	9844	10144	10313	10313	12297	1	4	36	18	1	6	1	2	1	1	1	2	1	2	2	1	2	1
57	1	5	2	1	1	42	2	6680	6680	6680	4550	4655	4774	1	1	36	18	1	6	1	2	1	1	1	2	1	2	2	1	2	1
58	1	5	4	1	2	44	1	3126	5257	5257	4862	5037	7168	1	1	62	39	3	5	1	2	1	1	1	2	1	2	2	1	2	1
59	1	5	3	1	1	22	1	5309	5461	5461	8377	8377	8628	1	1	36	18	1	7	1	2	1	1	1	2	1	2	2	1	2	6
60	1	5	2	2	1	69	1	3771	4978	4978	5715	6124	7331	1	1	41	31	2	4	1	2	1	1	2	1	1	2	2	1	2	1
61	1	5	3	1	1	62	1	4038	3907	3907	6378	7168	7038	1	1	62	45	3	4	1	2	1	1	2	1	1	2	2	1	2	7
62	1	5	4	1	2	68	1	15501	18524	18524	19958	20258	23282	1	1	56	44	4	4	1	2	1	1	2	1	1	2	2	1	1	1
63	2	5	3	1	2	27	2	3230	4751	4751	7295	7685	9205	1	1	46	32	2	4	1	2	1	1	2	2	2	1	2	1	2	3
64	2	5	2	2	1	38	1	3540	4428	4428	6030	6195	7084	1	1	24	12	1	4	1	2	1	1	2	2	2	2	2	1	2	5
65	2	5	1	2	1	42	2	4639	5094	5113	8521	9371	9826	1	1	49	31	2	3	1	2	1	1	2	2	2	2	2	1	1	5
66	2	5	1	2	1	56	1	450	1781	2358	5463	5463	8033	1	2	28	20	1	4	1	2	1	1	1	2	2	2	2	1	2	4
67	2	5	2	2	1	58	2	3809	3992	3992	5273	5413	5596	1	2	28	20	1	4	1	2	1	1	1	2	2	1	2	1	2	6
68	2	5	2	1	1	42	2	2045	2411	2411	4231	4231	4597	1	1	50	36	3	5	1	2	1	1	1	2	2	2	2	1	1	6
69	2	5	3	2	2	55	1	6370	6465	6465	9365	9410	10285	1	1	70	45	4	5	1	2	1	1	1	2	2	2	2	1	1	7
70	2	5	1	2	1	33	1	10759	10839	12639	9528	12110	13691	1	4	27	18	1	6	1	2	1	1	2	2	2	1	2	1	2	1
71	2	5	2	2	1	61	2	1971	3237	3657	4670	4837	6102	1	1	53	28	2	5	1	2	1	1	2	2	2	1	2	1	2	1
72	2	5	5	1	1	33	2	2742	2842	2842	9148	9148	9248	1	1	43	37	2	1	2	2	2	2	2	2	2	1	2	2	2	4
73	2	5	2	2	1	65	1	3912	4602	4602	4753	6160	6850	3	1	67	47	3	2	2	2	1	2	2	2	2	1	2	2	1	6
74	2	5	3	1	2	38	1	5651	6161	6161	5024	5114	5625	1	1	28	17	1	3	1	2	1	1	2	2	2	2	2	1	1	5
75	2	5	5	1	2	38	2	4546	5318	5318	5413	5493	6265	1	2	48	30	2	1	2	2	1	1	2	2	2	1	2	2	1	5
76	2	5	3	1	1	25	2	3141	3419	3749	4511	4561	5168	1	1	38	20	1	1	2	2	2	2	2	2	2	2	2	2	2	4
77	2	5	1	2	1	67	2	1079	1846	1846	1857	1857	2623	1	1	41	20	1	5	2	1	1	1	2	2	2	2	2	1	1	1
78	2	5	2	2	2	45	1	2132	3315	3365	5405	5605	7069	1	2	45	36	2	1	2	2	2	2	2	2	2	1	2	2	2	4
79	2	5	2	2	2	49	2	2250	2481	2496	6300	6400	6706	1	2	30	22	2	1	2	2	1	2	2	2	2	1	2	2	2	4
80	2	5	3	1	1	33	2	1153	1253	1253	3254	3301	3536	3	1	38	29	2	4	2	2	2	2	2	2	2	1	2	2	2	6
81	2	5	3	2	3	45	1	2985	3320	3330	6225	6370	6805	3	1	52	41	4	4	2	2	2	2	2	2	2	1	2	2	2	6
82	2	5	4	1	2	36	2	4763	5535	5535	7017	7217	7989	3	1	80	66	4	3	2	1	1	1	2	1	1	2	2	1	1	1
83	2	5	2	2	1	67	2	2658	3231	3231	2819	2869	3442	3	1	49	26	2	2	2	1	1	2	2	2	1	2	2	2	1	4
84	2	5	5	1	1	53	2	2158	2596	2596	4337	4622	5060	3	1	67	50	4	3	2	1	1	1	2	1	1	2	2	1	1	7
85	2	5	1	2	1	60	2	1335	2161	2161	2316	2484	3310	3	2	78	62	4	3	2	1	1	1	2	2	1	2	2	1	2	7
86	2	5	1	2	1	62	2	1129	1844	1844	1972	1972	2687	3	1	60	43	4	2	2	1	2	2	2	2	1	2	2	2	1	7
87	2	5	1	2	1	75	2	1514	2388	2388	1331	1331	2205	4	2	42	28	2	2	2	1	1	2	2	2	1	2	2	2	1	7
88	2	5	3	1	2	45	1	8155	9522	9522	11028	11366	13033	3	1	120	80	5	5	2	1	1	1	2	1	1	2	2	1	1	1
89	2	5	3	1	2	38	2	3195	3434	3434	7612	8178	8417	4	1	100	79	3	4	2	1	1	1	2	1	1	2	2	1	1	5
90	2	5	3	2	2	52	1	6817	7656	7656	6989	7571	8410	3	1	82	67	4	4	2	1	1	2	2	2	1	2	2	2	1	1
91	2	5	5	1	1	31	2	2083	4397	4397	2893	2913	5227	1	1	73	55	3	5	1	2	1	1	2	2	1	2	2	1	1	5
92	2	5	4	1	1	43	1	2800	2977	2977	2946	2946	3123	1	1	49	28	2	5	1	2	1	1	2	1	1	2	2	1	1	5
93	2	5	4	1	1	40	2	1437	2302	2302	7201	7201	8066	1	1	36	26	2	4	1	2	1	1	2	1	1	2	2	1	1	6
94	2	5	4	1	1	43	1	5816	7221	7811	8652	8711	10706	1	1	58	45	3	6	1	2	1	1	1	2	1	2	2	1	1	5
95	2	5	3	2	1	58	1	4334	4471	4471	4879	4879	5015	1	1	55	41	3	3	1	2	1	1	2	1	1	2	2	1	1	1
96	2	5	4	1	1	38	1	4380	7098	7098	13255	13355	16073	1	1	57	35	3	4	1	2	1	1	2	1	1	2	2	1	1	1
97	2	5	3	1	1	23	2	3102	4492	4492	5491	5791	7181	1	1	30	19	1	3	1	2	1	1	2	1	1	2	2	1	1	6
98	2	5	4	1	1	36	2	5032	7891	8591	2891	2891	6750	1	2	45	38	2	4	1	2	1	1	2	1	1	2	2	1	1	5
99	2	5	3	1	2	55	1	6040	6601	6601	4539	4586	5147	1	1	44	33	2	5	1	2	1	1	2	1	1	2	2	1	1	7
100	2	5	4	1	2	44	2	6274	8058	8058	5157	5257	7042	1	1	50	30	2	5	1	2	1	1	1	2	1	2	2	1	1	6
101	2	5	5	1	2	58	1	3274	5616	5616	7844	8088	10430	3	1	80	64	4	4	2	1	2	2	2	2	2	1	2	2	1	7
102	2	5	2	2	1	71	1	2614	4068	4068	2555	2620	4074	3	1	69	54	3	2	2	1	2	2	2	2	2	1	2	2	1	7
103	2	5	3	1	2	38	1	1864	1945	1990	4640	4640	4721	3	1	70	54	2	1	2	1	2	2	2	2	2	1	2	2	2	4
104	2	5	3	1	2	43	1	5632	8289	8689	10962	12104	14960	3	1	126	73	5	5	2	1	1	1	1	2	2	1	2	1	1	5
105	2	5	2	2	1	43	1	3061	3201	3701	6014	6454	6994	3	4	64	53	3	9	2	1	2	2	2	2	2	1	2	2	2	4
106	2	5	2	2	2	45	2	5310	6470	9470	11127	12737	15897	3	1	95	73	4	5	2	1	1	1	2	2	2	1	2	1	1	1
107	2	5	4	1	2	57	1	2741	4005	4205	3915	3975	5239	1	1	45	35	3	4	1	2	1	1	2	2	2	1	2	1	1	5
108	2	5	2	2	1	62	1	2395	2392	2392	8276	8301	8298	1	1	37	28	2	3	1	2	1	1	2	2	2	1	2	1	1	7
109	2	5	1	2	1	26	2	1706	1858	2098	5243	5533	5686	1	1	54	40	2	5	1	2	1	1	2	2	2	1	2	1	2	5
110	2	5	4	1	2	39	1	4380	5817	6927	7644	7832	9269	1	1	77	47	3	5	2	1	1	1	2	2	2	1	2	1	1	1
111	2	5	1	2	1	67	2	1352	1876	1876	2704	2764	3287	3	1	54	41	2	1	2	1	2	2	2	2	2	1	2	2	2	1
112	2	5	1	2	1	43	1	1195	1640	1640	2242	2272	2717	3	1	73	65	2	1	2	1	2	2	2	2	2	1	2	2	2	5
113	2	5	4	1	1	38	1	3236	5147	5147	9480	10181	12092	3	1	76	60	3	2	2	1	2	2	2	2	2	1	2	2	2	5
114	2	5	1	2	1	64	2	2113	3616	3716	3547	3590	5093	3	1	61	51	2	2	2	1	2	2	2	2	2	1	2	2	1	8
115	2	5	3	2	2	24	1	3363	4238	4588	4731	4757	5633	3	1	65	46	3	1	2	1	2	2	2	2	2	1	2	2	2	4
116	2	5	4	2	3	53	1	6710	7958	9410	12662	12729	13980	3	1	95	71	4	5	2	1	2	2	2	2	2	1	2	2	1	1
117	2	5	3	2	1	61	1	2847	2513	2563	4738	6107	5773	3	1	65	47	2	3	2	1	2	2	2	2	2	1	2	2	2	7
118	2	5	1	2	1	69	2	1125	1991	1991	1315	1368	2235	3	1	66	52	2	1	2	1	2	2	2	2	2	1	2	2	2	7
119	2	5	3	2	2	46	2	3509	4367	4467	6347	6516	7374	1	3	58	46	2	3	2	1	2	2	2	2	2	1	2	2	2	4
120	2	5	2	2	1	73	1	1809	2587	2587	2859	2903	3681	3	1	62	45	3	1	2	1	2	2	2	2	2	1	2	2	2	8
121	2	5	3	2	3	63	1	11625	15174	15674	13232	17316	20865	1	1	58	42	3	5	1	2	1	1	1	2	1	2	2	1	1	5
122	2	5	2	2	1	39	2	2157	3866	3866	4876	5001	6711	3	4	48	33	2	2	2	2	2	2	2	2	2	1	2	2	1	6
123	2	5	1	2	1	72	1	1295	2424	2424	2737	2737	3866	1	1	43	34	3	4	1	2	1	1	1	2	1	2	2	1	1	7
124	2	5	1	2	1	75	1	1670	2759	2759	3307	3354	4443	1	1	12	9	1	3	1	2	1	1	2	2	1	2	2	2	2	5
125	2	5	2	2	2	52	1	2822	4605	4605	3758	3972	5755	1	1	45	30	2	4	1	2	1	1	2	2	1	2	2	1	1	4
126	2	5	2	2	1	55	2	5183	7186	7886	9448	10153	12156	1	1	74	67	3	4	1	2	1	1	2	2	1	2	2	1	1	5
127	2	5	2	2	1	63	1	2627	3610	3910	4654	4912	5895	3	1	64	38	2	4	2	2	2	2	2	2	2	1	2	2	1	6
128	2	5	5	2	3	52	1	13876	15867	16367	14288	18583	20574	1	1	48	36	3	5	2	1	1	1	2	2	1	2	2	2	1	1
129	2	5	1	2	1	70	1	1800	2629	2659	1055	1209	2068	1	1	26	11	1	3	2	1	1	2	2	2	1	2	2	2	2	1
130	2	5	4	1	3	44	1	8620	10663	10663	7850	8574	10617	1	1	58	32	2	5	2	1	1	1	2	2	2	1	2	1	1	5
131	2	5	2	1	1	33	2	2262	3313	3313	4680	4680	5731	1	1	42	27	3	4	2	1	1	1	2	2	2	1	2	1	1	1
132	2	5	1	2	1	55	2	1528	2406	2406	3506	3621	4499	3	1	80	63	2	3	2	2	2	2	2	2	2	1	2	2	2	6
133	2	5	3	1	2	34	1	3085	3254	3454	4859	6295	6464	3	1	90	55	3	3	2	2	2	2	2	2	2	1	2	2	2	6
134	2	5	1	2	1	80	2	1410	2716	2716	2107	2230	3536	3	1	77	58	3	2	2	1	2	2	2	2	1	2	2	2	1	5
135	2	5	1	2	1	81	2	1058	1926	2126	1755	1830	2698	3	1	50	44	2	1	2	2	2	2	2	2	2	1	2	2	2	10
136	2	5	3	2	1	58	2	6624	8745	8745	5143	7615	9736	3	1	99	74	4	4	2	1	2	2	2	2	2	1	2	2	1	5
137	2	5	5	1	2	70	2	5562	10012	10512	8090	9166	13615	3	1	99	78	4	5	2	1	2	2	2	2	1	2	2	2	1	9
138	2	5	6	1	2	65	1	4937	8375	8495	5798	6407	9844	3	1	48	39	3	2	2	2	2	2	2	2	2	1	2	2	1	6
139	2	5	6	1	1	63	1	8115	9672	10672	7142	8531	10087	3	1	66	48	3	2	2	2	2	2	2	2	2	1	2	2	2	8
140	2	5	3	2	3	47	1	5137	6956	6956	3753	5332	7151	3	1	88	77	4	4	2	2	2	2	2	2	2	1	2	2	2	7
141	2	5	1	2	1	79	2	1010	2121	2521	2263	2332	3442	3	1	48	42	2	3	2	2	2	2	2	2	2	1	2	2	2	8
142	2	5	6	1	2	65	1	10667	13077	13577	7544	10410	12819	3	1	80	68	3	3	2	2	2	2	2	2	2	1	2	2	2	7
143	2	5	2	2	1	61	2	4111	5820	5820	4576	5127	6836	3	1	93	55	3	4	2	2	2	2	2	2	2	1	2	2	1	5
144	2	5	2	2	1	66	2	2666	4627	4627	4775	6030	7991	3	1	60	49	3	2	2	2	2	2	2	2	2	1	2	2	2	7
145	2	5	5	1	2	30	2	5402	7724	7824	8557	9375	11697	1	1	52	38	2	4	2	1	1	1	2	2	2	1	2	1	2	5
146	2	5	3	2	1	46	2	2110	5216	7516	3410	3654	7059	1	1	46	40	3	4	2	1	2	2	2	2	2	1	2	2	1	5
147	2	5	3	2	2	44	2	2049	4686	4886	6455	6677	9315	1	1	47	40	3	5	2	2	1	1	2	2	2	1	2	1	1	5
148	2	5	3	1	2	28	2	1383	4760	5170	2417	2452	6320	1	2	61	41	3	7	2	2	1	1	2	2	2	1	2	1	2	4
149	2	5	4	1	1	45	2	4128	6960	7160	3271	3818	6850	3	1	61	46	3	2	2	2	2	2	2	2	2	1	2	2	2	5
150	2	5	2	2	2	41	2	2105	3324	3324	4348	4418	5637	1	1	55	27	2	4	2	2	2	2	2	2	2	1	2	2	1	5
151	2	5	1	2	1	68	2	946	2901	2901	2849	3219	5174	3	1	49	36	2	3	2	2	2	2	2	2	2	1	2	2	2	9
152	2	5	1	2	1	86	2	946	1713	1763	1757	1888	2655	3	1	49	37	2	2	2	1	2	2	2	2	2	1	2	2	1	9
153	2	5	2	2	1	66	2	2800	4497	4597	6715	7563	9331	3	1	66	54	3	3	2	2	2	2	2	2	2	1	2	2	2	6
154	2	5	2	2	1	63	2	4138	5617	5617	2502	3773	5252	3	1	56	46	3	3	2	2	2	2	2	2	2	1	2	2	2	6
155	2	5	2	2	2	26	2	1645	3200	3200	2443	2737	4292	3	1	68	54	4	1	2	2	2	2	2	2	2	1	2	2	2	5
156	2	5	1	2	1	63	2	1490	2766	2766	1909	2209	3585	3	1	50	40	2	4	2	2	2	2	2	2	2	2	2	2	2	7
157	2	5	4	1	2	38	2	2455	3727	3977	2735	2910	4183	3	2	66	51	3	2	2	2	2	2	2	2	2	1	2	2	2	5
158	2	5	3	2	1	83	2	5174	7860	7860	4262	4945	7632	3	1	85	61	4	3	2	2	2	2	2	2	2	1	2	2	1	9
159	2	5	5	1	2	37	2	9336	13593	14693	14570	16287	21844	3	1	39	22	2	2	2	2	2	2	2	2	2	1	2	2	2	5
160	2	5	3	1	2	35	2	1998	3070	4470	2044	2614	4386	4	1	55	32	3	3	2	2	2	2	2	2	2	1	2	2	2	6
161	3	5	2	2	1	56	2	5168	6366	6566	5739	7641	8839	3	1	50	36	3	4	1	2	2	2	2	2	1	2	2	2	2	7
162	3	5	6	1	3	60	2	5956	8411	9111	6026	6490	8945	3	1	90	60	4	5	2	2	2	2	2	2	2	2	2	2	2	7
163	3	5	5	1	2	29	2	11844	14655	14655	7339	15938	18749	3	1	80	60	4	4	1	2	2	2	2	2	1	2	2	2	1	4
164	3	5	2	2	1	55	2	4008	6954	7154	6533	7704	10651	3	1	65	40	2	3	1	2	2	2	2	2	1	2	2	2	2	7
165	3	5	2	2	2	53	2	3693	5393	5638	3336	3615	5525	4	1	69	40	3	4	1	2	1	1	2	1	1	2	2	1	1	5
166	3	5	1	2	1	41	1	722	1243	1243	696	744	1365	3	1	56	36	2	4	2	2	2	2	2	2	2	2	2	2	2	6
167	3	5	6	1	3	48	2	7193	13343	13503	8740	10499	16809	3	1	90	60	4	4	1	2	2	2	2	2	1	2	2	2	1	6
168	3	5	4	1	2	30	2	4423	6018	6218	6545	7632	9376	4	2	36	24	2	4	2	2	2	2	2	2	2	2	2	2	2	6
169	3	5	5	1	3	43	2	8042	11921	12301	7979	9460	13379	3	1	75	45	3	3	1	2	2	2	2	2	1	2	2	2	2	4
170	3	5	1	2	1	53	2	3060	3985	4345	3497	5508	6433	3	1	90	60	4	4	1	2	2	2	2	2	1	2	2	2	2	4
171	3	5	2	2	2	50	2	4751	7146	7660	4925	6656	9102	3	1	79	40	4	4	1	2	2	2	2	2	1	2	2	2	1	1
172	3	5	4	1	2	44	2	4425	7216	7416	7267	7971	10763	3	1	112	70	4	6	1	2	2	2	2	2	1	2	2	2	2	1
173	3	5	1	2	1	77	2	1773	2811	2911	2650	2965	4102	3	1	30	20	1	3	2	2	2	2	2	2	2	1	2	2	2	7
174	3	5	4	2	3	42	2	5664	8125	9075	5077	7140	9600	1	1	43	30	3	5	1	2	1	1	2	2	1	2	2	1	1	6
175	3	5	3	1	1	24	2	4797	6668	7118	4680	6413	8534	3	4	56	40	3	4	1	2	2	2	2	2	1	2	2	2	2	5
176	3	5	3	1	1	63	2	6211	9946	11446	7837	9547	13282	3	1	69	45	3	4	1	2	2	2	2	2	1	2	2	2	1	5
177	3	5	3	2	1	45	2	3956	6231	6531	4649	5290	7564	3	1	63	40	3	2	1	2	2	2	2	2	1	2	2	2	2	5
178	3	5	2	1	1	48	2	526	1234	1259	970	991	1828	3	1	30	15	1	2	2	2	2	2	2	2	2	1	2	2	2	5
179	3	5	3	1	2	49	2	2443	4457	5067	3461	4343	6368	3	1	73	60	4	5	1	2	2	2	2	2	1	2	2	2	2	6
180	3	5	5	1	2	28	1	3191	4840	4860	2867	2914	4682	3	1	50	34	2	1	2	2	2	2	2	2	2	2	2	2	2	6
181	3	5	1	2	1	51	1	3096	4864	5614	3927	5254	7022	3	1	81	69	4	5	2	1	2	2	2	2	2	2	2	2	2	6
182	3	5	1	2	1	79	2	1285	1736	1736	2352	2718	3169	3	1	61	49	3	3	2	2	2	2	2	2	2	2	2	2	2	7
183	3	5	2	2	1	72	1	2417	3290	3590	9272	10413	11286	3	1	64	55	3	3	2	2	2	2	2	2	2	2	2	2	2	4
184	3	5	2	2	2	30	2	5256	5127	6027	29836	32965	32835	3	1	61	50	3	6	2	2	2	2	2	2	2	1	2	2	2	6
185	3	5	3	1	1	32	2	1419	2642	2872	6376	6735	7958	3	1	80	69	3	3	2	1	2	2	2	2	1	2	2	2	2	6
186	3	5	3	1	2	26	1	4773	6448	7048	5938	7536	9211	3	1	89	73	5	4	2	2	2	2	2	2	2	1	2	2	2	5
187	3	5	3	2	2	41	2	4006	5180	6030	10370	11535	12709	3	1	99	87	4	2	2	2	2	2	2	2	2	1	2	2	2	1
188	3	5	1	2	1	48	2	657	1225	1225	420	420	988	3	1	80	65	4	3	2	2	2	2	2	2	2	2	2	2	2	6
189	3	5	3	2	1	68	1	2732	3079	3079	9357	9552	9899	2	2	42	30	3	3	2	2	2	2	2	2	2	1	2	2	2	4
190	3	5	3	1	2	43	2	1880	2504	2554	5457	6476	7149	2	2	53	36	2	4	2	2	2	2	2	2	2	2	2	2	2	6
191	3	5	2	2	1	75	1	2533	3751	3751	3248	4414	5632	3	1	66	49	3	2	2	2	2	2	2	2	2	1	2	2	2	7
192	3	5	1	2	1	81	1	2282	4915	5065	9823	10901	13534	3	1	70	56	3	2	2	2	2	2	2	2	1	2	2	2	2	8
193	3	5	8	1	2	69	1	6106	8927	9027	4836	5320	8140	3	1	61	49	4	3	2	2	2	2	2	2	2	1	2	2	2	8
194	3	5	2	2	1	84	1	3124	4956	4956	3734	3878	5709	3	1	56	42	2	1	2	2	2	2	2	2	2	2	2	2	2	8
