x	y
2.06034975	0.458463632
4.69178992	2.06582145
5.3613023	-2.05725941
8.83209738	5.66878247
6.50066558	1.43686663
5.96823438	-2.17253731
1.47419664	-1.94449851
4.55982211	2.5527271
2.6730032	2.42925244
9.59802596	-3.62343584
4.59542407	2.12745172
1.04483417	0.225538667
7.27310183	-0.118226835
4.83069728	2.43141582
8.68337327	4.61569751
9.95230881	-6.1923829
9.52837482	-2.22975479
2.77396974	2.20410989
9.06739071	5.36252118
4.84032062	3.01970401
0.361027453	0.559688135
8.78330418	5.21717331
4.38146208	1.26354905
8.68705685	3.51046842
8.30067771	-0.943532122
4.09151426	-0.56854863
9.02015977	6.50483027
9.85495947	-6.33494351
1.80001213	-0.695755796
8.12327988	-3.01737044
7.54596313	-2.38021194
5.29513736	-0.435190236
9.12700893	3.37445289
8.52525392	1.71887841
2.95053906	1.49997518
4.2503032	0.610983315
1.8539071	-0.809507239
3.69455664	-1.77706354
4.26716579	1.66116474
4.29799438	0.540085993
2.32553228	1.22670695
0.920586898	-0.651419817
5.19977508	0.642141048
9.45767377	-1.83998645
1.96450483	-0.955889225
2.13728272	1.14798534
0.818312998	0.398062093
0.770616913	0.84887425
3.66382712	-1.66830562
8.04576846	-3.56269469
1.79815322	-0.402067567
0.915657443	0.620700594
1.86381499	-0.749404295
9.92248858	-7.71362182
4.2521901	0.897246176
5.62052008	-2.18103504
2.73680606	1.65627754
1.39723466	-1.19492422
1.30165104	-0.475998364
1.37021688	-2.09022796
0.882898957	0.357832827
7.70267802	-4.39740762
7.03448525	2.84663279
7.0722225	1.97334321
8.55736667	2.95183536
6.78209112	3.99715043
1.83471017	-0.451441059
7.61454873	-3.83362862
6.59286185	2.92266426
4.64480841	2.40961553
1.01639717	0.42149242
6.84393182	4.29285066
2.92903472	1.40233413
6.59903995	2.97593717
9.21824395	2.23512529
5.92827438	-2.50164014
1.06521973	-0.354138947
6.67655136	3.76736094
4.96605385	1.84871682
0.307754298	0.363742698
8.32841367	0.0777405881
5.2793167	0.248250065
3.66440282	-1.63193913
8.93753742	6.29152303
7.44551471	-1.26651849
7.57663868	-3.03901758
6.62991757	2.93079032
1.86531492	-0.153290034
8.88814804	6.09230173
0.794547556	1.27469616
4.7952074	2.84247255
4.25076618	0.133025706
2.29528619	1.48928385
6.14973915	-2.25318406
3.77881023	-1.69338412
7.40683436	-1.68436614
9.36625147	1.33550921
9.5506992	-2.80244486
4.56056628	0.887680013
1.47855998	-1.25061319
8.30103174	-1.30183723
2.87414784	1.65396276
9.59451243	-3.62278063
1.17080569	-0.752412617
9.97261807	-8.32325533
7.59483114	-2.67003175
5.93010961	-3.65117329
2.23326827	-0.736239177
2.52710335	0.837698718
0.0181924578	0.278499771
9.30019204	3.22003165
0.367953355	1.77437713
3.63895532	-2.23186058
9.2236449	3.94285053
4.50498464	1.32318857
6.11718717	-1.72278961
1.34366912	-0.769713228
3.07390575	0.614821105
0.726174416	0.287836948
8.71035281	4.37725185
1.97741765	0.740286318
3.52320655	-2.46885641
6.16560813	-0.793640496
7.23179283	0.235176738
3.67638591	-3.27728315
0.649058709	0.853175334
6.5710957	3.04915197
6.06098714	-2.37543915
3.70376784	-1.25469028
3.05422757	0.665291774
0.640986088	0.848902643
3.82771887	-2.58901137
1.17666449	-0.779135611
3.03603511	0.787935716
1.34079404	-1.36923194
3.45976552	-2.09635355
7.53770917	-2.70778182
3.81239021	-1.86220283
6.8358094	3.93776157
7.34257835	-0.719042306
6.19404005	-0.441692543
0.738484461	1.24798248
6.10963498	-2.77221467
8.63222553	3.17899474
4.2166224	0.0626724235
7.21527791	0.780374051
9.94402685	-7.19008645
1.4004327	-0.897722063
0.540236488	1.4167324
6.5662192	1.98461297
3.37293115	-1.79827826
5.33944556	0.351724719
6.83646864	3.77881689
3.51199163	-1.09185464
2.73194506	1.8809607
1.51172668	-1.49484829
5.65980415	-3.5815584
0.475956518	0.217433074
1.39115102	-1.31850531
8.05196116	-4.66368178
8.12209498	-3.69843122
6.66356631	4.37216062
4.55534162	2.96502696
0.709382818	1.84696831
1.92805493	-1.49928242
5.92508184	-2.51044276
8.44570663	0.594837798
2.07715729	-0.249147341
7.71143253	-3.19024418
8.70980393	5.48002648
8.50167978	1.96106735
0.676724582	0.768411222
7.17119604	1.92468087
2.14358473	-0.223759876
5.12874863	0.562367368
5.33727902	-1.01383297
0.334727398	1.70294377
8.6315931	3.83330451
2.39680358	0.871673714
3.82555234	-1.5884258
4.67492324	1.91690672
8.15563658	-2.42219249
1.00565256	0.28938099
5.77359118	-3.36002847
6.55282826	2.19240524
1.49207027	-1.89396961
6.45031094	2.21005259
5.06420836	1.5283674
4.62477333	2.33331478
5.56698843	-2.32195415
8.00460431	-4.34686275
2.98705107	1.08713737
6.91334081	3.83134652
6.8571845	4.14638841
9.50292453	-1.96541558
2.31032649	1.46439856
9.74214477	-4.53151357
4.71359977	2.60789484
4.3741759	1.24932394
6.97304747	3.27442397
9.40741737	-0.658903938
6.08200667	-1.71204822
1.97737232	-1.11333696
3.14749513	0.973832682
4.73249412	2.1331649
7.9263701	-4.77222194
0.971719761	0.478279038
7.37390395	-0.11921475
8.17966586	-2.58395015
6.43429982	1.46146701
4.52140882	1.90877417
2.30969559	0.781426608
3.55489253	-1.49126233
0.867311396	0.880599105
6.5168045	2.35183894
9.32264452	2.08916012
6.64155172	3.48923355
4.0101269	-1.91413698
7.01387997	3.47184145
7.01231803	2.37151889
6.89940695	4.25825268
9.29652713	3.70644785
2.63970408	0.579305185
0.0392705674	0.117926672
7.49198959	-2.83907112
3.21452045	-0.562993504
0.662331756	0.995171246
6.89177544	3.45757191
2.75949546	0.0968902843
5.28815036	0.385548101
9.69061199	-6.01923909
9.51787149	-1.72874109
4.5798296	2.64549185
8.85385053	6.45697011
5.16920318	0.445130842
7.2081759	0.78762695
1.02493708	0.34112769
7.98653914	-4.04941223
8.65239867	3.56981339
7.88553137	-5.08234097
4.38338536	1.84570681
3.97641224	-1.58554552
1.6385187	-2.10122643
0.873213339	0.147195436
7.4839784	-2.18789938
4.67988511	2.65631878
8.99881462	5.2595514
0.833942772	0.82782582
9.99198882	-7.51673113
1.46536465	-0.917502682
8.33648286	0.24635676
3.94216733	-1.7289556
7.23249335	1.67146531
6.1772143	-1.20685623
8.64587087	3.16402605
4.42429584	1.21032648
2.65266375	1.63921624
7.32336376	0.451514472
3.47666769	-2.1437772
7.21611995	1.04287349
1.62772667	-1.18851494
9.33682463	1.25501655
4.82426902	2.57478174
9.33058857	2.06835047
7.24434131	1.43146888
5.36041239	-1.25460666
3.18575032	-1.08328011
8.45737523	2.10316882
9.76036291	-6.37653795
0.680527282	1.45417676
4.1869357	-0.146599718
7.62343246	-4.63092628
9.7683741	-6.89613899
9.21516263	4.3277392
5.85045284	-2.99501445
3.68126513	-1.43098862
2.53588074	2.09031252
3.03794833	0.463955108
7.20458197	0.853919407
9.25696929	2.86502381
9.88321699	-6.2783618
5.71458457	-2.88042721
3.72791427	-2.97824645
2.04084934	-0.304780354
8.25549032	-1.62809732
6.37775994	1.74169841
8.90364525	5.91527622
2.71026077	2.15009507
1.011149	-0.442974937
1.01734755	-0.144583261
5.71789493	-3.01471181
4.25288554	0.14403178
1.25078609	-0.106274863
0.336820265	1.09962009
1.53095923	-2.03853878
6.62945308	2.53334351
1.482412	-1.79448349
1.12165764	-1.17526623
5.68050639	-2.37849197
2.94818795	0.737083542
8.94653126	5.9584996
8.08370931	-3.55371158
8.47592443	1.9766539
3.69121866	-2.19360856
9.06331426	6.1809652
2.36912474	0.514670784
4.74801015	2.37706504
1.65036931	-0.751462746
0.807823945	0.629262695
5.99136481	-2.84662209
5.8443649	-3.40570286
8.94010854	7.17754433
9.79667494	-7.65898256
4.97401726	2.69373138
0.126469968	-0.476523506
4.687223	2.64292348
8.54588885	2.40742794
4.63719699	1.8561411
8.59551074	3.49523263
8.05776993	-4.6899132
7.06347685	2.60005514
3.51553936	-1.73359186
2.91500434	1.96273786
5.10958198	1.31461214
8.11694559	-4.61638391
5.43183005	-0.82263432
4.43907991	1.8375659
1.41836332	-1.09670925
9.05363133	4.10199689
3.06270531	0.555087665
9.69106976	-5.49491758
9.76799401	-5.7946527
8.24580738	-2.03777644
7.0713405	3.37665846
3.84670486	-1.44235279
0.827885468	1.10909538
8.44913244	0.419114051
2.09732324	-0.0285755125
3.72023489	-2.29252803
6.14066246	-2.1810783
9.9032436	-7.49632394
7.46012625	-1.89707275
5.12472416	0.611111942
8.08289254	-4.93795598
2.83976675	0.589149063
3.94458689	-2.16473909
2.20971981	0.621391129
2.97331056	0.686042603
4.72282116	2.20729765
8.51275684	2.80018195
7.7706399	-4.3898118
1.55494723	-2.58255792
5.66918983	-3.5639564
5.45005154	-1.62656522
8.07957014	-3.69106107
1.78695322	-1.39187179
7.42338245	-1.71522258
8.37871104	0.0906899581
4.23286528	0.149154143
0.959067756	1.04709816
8.97425001	5.89375231
6.28138779	0.277794571
0.51263039	2.04441014
4.81840529	2.1087473
9.07100641	4.83808802
8.82126155	6.11249043
5.38790623	-1.70411235
6.73551275	3.48686462
6.23123966	0.82369837
4.87667466	2.30040542
3.17818642	-0.386606835
3.7622022	-2.25023676
1.5084185	-0.421999799
6.36391782	0.569159427
5.40754652	-1.34896589
2.20725496	1.75465609
5.83922867	-3.99903716
0.913866283	0.583164394
7.32797638	0.667811365
0.420301736	0.0155384633
8.41584622	1.2736955
2.53515525	1.82878297
3.0951111	0.459051945
9.46123398	-0.556339896
9.44159622	-0.355330248
6.25376745	-0.893849978
2.58248071	1.64355186
4.64282869	1.8219314
0.370589805	1.06317067
7.4325059	-2.19332512
7.19457447	2.08161034
7.90731593	-4.46160992
4.13935014	0.0553477315
2.55583124	2.29924436
4.01638805	-1.63583391
4.14511374	-0.747818529
2.63093164	1.13293315
6.19191343	-0.58811733
8.60884153	4.35456934
1.93785878	-1.21063704
6.79170297	3.79569138
5.27804714	0.608822723
1.28086515	-1.41200353
1.51755704	-1.18710246
8.37585675	-1.26257937
2.7428919	1.66192094
8.18575405	-2.26677127
2.05632306	-1.0387774
8.93426053	5.19879694
6.48912444	1.38732906
5.60327335	-2.98565317
7.41349437	-0.843860352
8.56367073	2.81639325
